code,abbr,district,pop_2011,pop_increase_2011,sex_ratio_2011,literacy_per_2011,density_2011
19337,WB,North Twenty Four Pargan*,10009781,0.12,955,0.84,2445
19343,WB,South Twenty Four Pargana,8161961,0.18,956,0.78,819
19335,WB,Purba Bardhaman,7717563,0.12,945,0.76,1099
19777,WB,Paschim Bardhaman,,,,,
19333,WB,Murshidabad,7103807,0.21,958,0.67,1334
19344,WB,Medinipur West,5913457,0.14,966,0.78,631
19338,WB,Hooghly,5519145,0.09,961,0.82,1753
19336,WB,Nadia,5167600,0.12,947,0.75,1316
19345,WB,Purba Medinipur,5095875,0.15,938,0.87,1081
19341,WB,Howrah,4850029,0.14,939,0.83,3306
19342,WB,Kolkata,4496694,-0.02,908,0.86,24306
19332,WB,Maldah,3988845,0.21,944,0.62,1069
19328,WB,Jalpaiguri,3872846,0.14,953,0.73,622
19339,WB,Bankura,3596674,0.13,957,0.7,523
19334,WB,Birbhum,3502404,0.16,956,0.71,771
19330,WB,Uttar Dinajpur,3007134,0.23,939,0.59,958
19340,WB,Puruliya,2930115,0.16,957,0.64,468
19329,WB,Cooch Behar,2819086,0.14,942,0.75,832
19327,WB,Darjiling,1846823,0.15,970,0.8,586
19331,WB,Dakshin Dinajpur,1676276,0.12,956,0.73,755
19774,WB,Alipurduar,,,,,
19776,WB,Jhargram,,,,,
19775,WB,Kalimpong,,,,,
